"","pre_vote_intention","pre_vote_preference","pre_feel_clinton","pre_feel_trump","pre_feel_dem","pre_feel_rep","pre_ideo_self","pre_guaranteed_job","pre_birthright_citizenship","pre_help_blacks","pre_wall_mexico","pre_enviroment","pre_troops_isis","pre_syrian_refugee","pre_climate","pre_paid_leave","post_equal_pay","post_vaccine","post_freetrade","post_bank_regulation","post_healthcare","post_feel_clinton","post_feel_trump","post_feel_christian_fundamentalists","post_feel_feminists","post_feel_liberals","post_feel_labor_unions","post_feel_poor_people","post_feel_big_business","post_feel_conservatives","post_feel_the_u.s._supreme_court","post_feel_gay_men_and_lesbians","post_feel_congress","post_feel_rich_people","post_feel_muslims","post_feel_christians","post_feel_jews","post_feel_tea_party","post_feel_police","post_feel_transgender_people","post_feel_scientists","post_feel_black_lives_matter","pre_budget_sec","pre_budget_school","pre_budget_sci","pre_budget_crime","pre_budget_welfare","pre_budget_childcare","pre_budget_poverty","pre_budget_env","religion_importance","age","edu_num","race","gender","income_group","weight"
"918","Yes",NA,0,0,50,50,NA,99,6,2,99,99,2,6,4,1,1,4,4,4,5,0,15,50,40,50,50,60,40,50,40,50,30,40,50,60,50,40,100,0,60,40,0,1,0,1,0,1,0,0,1,50,12,"White, non-Hispanic","Female",15,0.963
"919","Yes",NA,50,30,70,70,NA,3,4,7,5,2,4,4,4,1,1,1,4,1,2,50,50,70,60,100,85,100,50,100,70,100,85,85,100,100,100,50,85,100,100,70,1,1,1,1,0,1,1,1,0,34,10,"Hispanic","Female",13,0.564
"920","Yes","Trump",0,60,0,60,6,2,7,1,6,5,4,7,7,1,1,NA,7,2,4,0,100,100,0,0,85,85,60,70,15,0,15,60,30,100,85,15,60,0,70,0,1,1,1,1,1,1,1,-1,1,46,6,"White, non-Hispanic","Female",3,0.677
"921","Yes","Trump",15,85,30,85,6,6,1,2,NA,5,2,7,7,4,6,1,6,6,4,0,85,70,30,30,40,50,70,85,40,15,30,60,50,85,50,100,70,30,60,0,0,0,0,0,NA,0,0,-1,NA,68,10,"White, non-Hispanic","Male",NA,0.636
"922","Yes","Clinton",85,0,85,40,2,4,6,7,2,99,6,3,4,4,1,1,4,4,2,85,15,50,85,70,85,85,40,40,50,85,50,50,85,100,70,40,30,85,50,85,0,1,0,1,0,1,1,0,1,25,13,"Black, non-Hispanic","Female",11,0.656
"923","Yes","Trump",0,100,0,100,4,5,1,5,7,1,1,6,1,2,1,4,7,4,1,0,100,40,0,50,100,100,100,100,85,0,100,0,0,100,100,85,100,0,60,0,1,0,1,1,0,0,0,0,1,71,9,"White, non-Hispanic","Male",17,1.402
"924","Yes","Clinton",70,0,70,60,3,4,7,7,4,3,2,2,2,1,1,1,2,4,4,85,0,70,70,70,70,85,15,40,60,85,30,15,85,85,85,50,85,70,70,85,1,1,1,1,0,1,1,1,1,37,10,"White, non-Hispanic","Female",13,2.497
"925","Yes",NA,20,80,10,70,NA,4,4,4,4,99,7,7,4,1,1,4,1,4,2,60,40,100,NA,70,85,100,100,30,60,0,60,85,0,100,30,60,100,0,60,70,1,1,-1,1,-1,1,1,1,1,50,9,"White, non-Hispanic","Male",13,1.636
"926","Yes",NA,50,30,50,50,NA,4,4,6,99,4,4,7,4,4,2,1,4,3,3,50,50,50,50,50,60,70,40,50,50,40,50,40,50,60,50,50,70,30,60,60,1,1,1,1,0,1,1,0,1,37,9,"Hispanic","Male",9,1.443
"927","Yes","Clinton",85,0,85,15,2,99,4,4,2,3,4,2,2,1,1,3,5,2,1,100,15,30,70,70,50,70,60,60,60,100,60,70,50,85,50,40,85,100,60,70,1,1,0,1,0,1,1,1,1,41,9,"Native American or Alaska Native, non-Hispanic","Female",12,0.528
"928","Yes","Clinton",60,0,85,15,3,4,7,7,5,99,4,4,1,2,1,6,6,2,4,60,0,60,100,85,70,100,40,0,30,100,40,30,100,85,100,50,30,100,40,100,-1,1,-1,1,0,1,1,1,1,20,10,"Hispanic","Female",1,1.44
"929","No",NA,0,60,50,50,NA,7,7,1,7,1,1,7,1,1,1,4,7,2,6,0,70,0,40,50,60,50,40,50,50,50,15,50,50,30,50,85,100,50,70,50,1,1,1,-1,-1,NA,1,1,0,32,10,"Hispanic","Male",18,1.09
"930","Yes","Trump",30,40,50,50,5,6,2,4,7,4,3,5,4,2,1,1,3,4,4,15,70,50,70,60,60,85,70,85,85,30,50,85,85,100,100,70,99,15,100,40,1,1,1,1,0,0,0,0,1,59,14,"White, non-Hispanic","Female",22,1.8
"931","Yes","Clinton",30,0,30,0,1,1,7,7,1,1,7,1,1,1,1,1,7,1,1,60,0,0,100,85,85,70,0,0,30,100,30,0,100,30,100,0,0,100,30,100,1,1,-1,-1,1,1,1,1,0,23,13,"White, non-Hispanic","Male",23,1.075
"932","Yes","Trump",50,85,40,60,4,7,1,1,5,5,2,7,7,1,1,1,1,NA,3,30,70,70,50,40,15,50,15,60,70,85,50,60,50,50,85,40,85,85,70,30,1,1,1,1,-1,1,-1,1,0,62,13,"White, non-Hispanic","Male",28,0.299
"933","Yes","Clinton",52,52,52,0,5,1,7,7,1,99,7,7,1,7,1,4,7,2,7,60,70,100,100,60,85,100,100,60,70,15,0,100,50,100,100,40,70,85,40,100,1,1,1,1,1,1,1,1,1,41,9,"Black, non-Hispanic","Female",1,0.556
"934","Yes","Clinton",40,0,60,0,1,1,7,7,1,1,7,1,1,1,1,1,5,1,1,60,0,0,100,100,100,100,0,0,15,100,15,50,50,30,50,0,40,100,100,100,1,1,1,-1,1,1,1,1,0,74,14,"White, non-Hispanic","Female",23,1.038
"935","Yes","Trump",60,100,NA,NA,4,7,7,6,7,3,6,6,2,2,2,4,6,4,4,50,70,70,60,100,70,70,85,70,70,60,70,70,70,100,100,60,70,60,70,70,-1,1,1,1,-1,1,0,1,1,NA,10,"Hispanic","Female",9,0.32
"936","Yes","Trump",0,85,0,70,6,6,4,2,7,4,2,6,4,4,4,1,2,4,7,0,85,50,15,0,15,50,60,85,40,30,70,60,30,85,50,60,100,15,60,0,0,0,1,1,-1,0,0,0,1,40,14,"White, non-Hispanic","Male",24,0.599
"937","Yes","Clinton",70,0,70,70,4,6,7,7,4,5,2,1,5,1,1,1,2,2,4,60,30,100,50,70,100,100,100,100,100,100,70,70,100,100,50,100,100,100,50,100,-1,1,1,1,1,1,1,-1,0,NA,12,"White, non-Hispanic","Female",1,0.868
"938",NA,NA,0,60,15,70,7,6,1,4,99,99,2,6,4,1,2,1,3,5,5,15,70,100,15,30,60,70,60,85,50,30,60,85,50,100,70,60,100,30,60,15,1,1,1,1,-1,1,1,-1,1,30,15,"White, non-Hispanic","Female",19,0.601
"939",NA,NA,30,15,30,40,5,5,6,6,4,2,5,4,2,2,1,1,3,2,3,15,30,40,60,50,50,50,40,60,70,50,50,50,50,50,50,30,70,50,70,50,-1,1,1,0,0,1,0,1,0,31,13,"White, non-Hispanic","Male",13,1.577
"940","Yes",NA,5,30,25,40,4,6,3,5,5,2,4,7,2,2,1,1,2,3,4,10,20,0,50,40,40,50,60,70,80,50,0,50,50,50,50,40,75,50,100,30,0,0,1,0,-1,0,0,0,0,34,13,"White, non-Hispanic","Male",18,0.331
"941","Yes","Trump",40,70,70,85,4,5,6,1,4,3,1,7,4,1,1,NA,4,2,2,50,70,100,85,85,70,100,70,70,85,50,100,60,0,100,100,85,100,50,85,85,1,1,1,1,1,1,1,1,1,58,9,"Hispanic","Male",17,0.374
"942","Yes","Clinton",85,0,85,15,2,2,4,7,3,2,6,2,2,2,1,1,2,2,2,100,0,40,85,85,70,60,30,40,50,50,30,50,50,50,50,15,85,50,85,100,1,1,1,1,0,0,1,1,0,68,14,"White, non-Hispanic","Female",14,0.654
"943","Yes","Trump",15,60,40,70,5,6,4,4,5,99,4,4,4,2,1,2,6,5,7,30,60,50,50,40,50,60,50,60,50,50,50,50,50,50,50,50,50,50,60,40,0,0,1,1,-1,0,0,0,1,32,10,"White, non-Hispanic","Male",25,1.553
"944",NA,NA,50,40,50,40,4,7,7,4,6,99,7,4,2,1,2,4,4,1,1,40,40,50,60,50,70,60,50,50,50,30,50,40,50,50,50,50,50,50,40,40,1,1,1,0,0,1,1,1,1,NA,8,"Hispanic","Male",21,0.789
"945","Yes","Clinton",70,15,85,30,6,4,7,7,1,3,6,2,1,1,1,4,4,1,2,85,0,30,0,0,15,60,30,30,40,0,40,15,30,85,15,15,60,15,70,40,1,0,1,-1,-1,1,1,1,1,78,3,"White, non-Hispanic","Female",5,0.899
"946","Yes","Clinton",85,15,60,30,4,3,7,7,3,3,4,3,4,2,1,1,4,4,2,70,30,50,70,70,60,85,50,60,70,85,30,50,85,70,85,30,85,85,100,70,0,1,1,0,0,0,1,1,1,45,13,"Black, non-Hispanic","Male",25,0.918
"947","Yes",NA,15,0,50,50,4,2,4,7,99,99,7,4,2,1,1,1,4,2,2,40,15,60,70,60,70,85,30,40,50,60,40,50,60,85,60,40,85,50,70,50,1,1,1,1,1,1,1,1,1,46,14,"White, non-Hispanic","Female",1,0.783
"948","Yes","Clinton",85,0,85,40,4,1,6,4,7,99,7,6,NA,1,1,2,5,1,6,70,0,60,50,45,80,60,45,50,45,50,40,40,100,100,50,35,60,50,100,100,1,1,0,1,-1,1,-1,0,1,44,11,"Black, non-Hispanic","Female",21,0.805
"949","Yes",NA,60,15,60,50,4,4,5,7,5,1,7,4,3,1,1,1,2,2,3,30,40,30,85,60,50,85,50,60,100,85,30,50,85,85,85,30,85,85,100,40,1,1,1,1,-1,1,1,1,0,25,13,"White, non-Hispanic","Male",17,0.384
"950","Yes","Clinton",70,0,50,85,1,7,7,2,7,1,2,7,1,1,1,2,1,2,2,60,0,85,15,50,70,100,30,50,50,70,0,0,100,85,100,50,0,50,85,100,1,1,1,1,-1,-1,1,1,1,34,12,"White, non-Hispanic","Female",9,0.647
"951","Yes","Clinton",70,0,60,30,4,6,6,7,6,1,1,7,1,1,1,2,1,2,6,0,40,NA,100,30,15,70,85,15,15,0,70,50,30,100,50,85,40,0,50,85,1,0,1,0,-1,-1,0,1,1,67,95,"White, non-Hispanic","Male",6,0.3
"952","Yes","Clinton",70,0,85,0,1,2,6,7,1,1,2,2,1,1,1,5,1,4,1,85,0,0,100,85,50,100,30,15,70,100,30,40,100,85,100,15,100,100,100,70,1,1,1,1,1,0,1,1,0,28,14,"Other","Male",23,0.897
"953","Yes",NA,60,50,60,60,NA,1,4,6,1,1,NA,NA,2,1,1,4,4,4,6,70,NA,60,100,100,100,100,60,50,60,100,60,50,100,100,100,50,100,100,100,100,1,1,1,1,0,0,0,1,1,55,9,"Black, non-Hispanic","Female",1,1.934
"954","Yes","Trump",40,60,60,70,NA,99,4,7,4,3,6,7,4,1,1,1,4,2,7,30,70,60,50,50,85,50,50,50,60,60,50,50,50,70,70,40,100,60,70,40,1,1,0,1,-1,1,0,1,1,33,13,"White, non-Hispanic","Male",19,0.618
"955",NA,NA,0,50,15,60,6,7,7,4,7,99,2,7,4,4,1,7,6,1,1,0,70,50,50,85,50,100,60,85,70,100,50,100,100,100,100,50,85,100,70,0,1,1,0,1,-1,0,-1,0,1,44,9,"Hispanic","Male",1,0.297
"956","Yes",NA,30,0,60,30,3,3,4,4,2,1,4,6,1,1,1,4,5,1,2,40,15,0,100,60,85,60,0,50,50,100,30,50,40,40,60,15,85,85,60,70,0,0,0,0,1,1,1,1,0,NA,10,NA,"Female",NA,1.559
"957","Yes","Trump",0,70,15,60,5,6,1,1,7,4,3,7,6,3,7,1,4,6,6,15,85,15,30,40,50,50,60,60,50,50,40,50,60,85,85,70,85,50,85,0,-1,-1,0,1,-1,-1,-1,-1,0,37,13,"White, non-Hispanic","Male",26,0.536
"958","Yes","Trump",0,100,0,85,6,7,1,1,6,5,6,7,4,2,1,1,6,2,6,0,100,100,15,0,40,85,40,100,70,50,30,85,50,100,100,50,100,50,50,0,0,1,1,1,-1,0,0,-1,1,68,11,"White, non-Hispanic","Male",17,0.76
"959","Yes","Trump",50,70,50,70,NA,5,5,7,5,6,4,4,5,3,3,4,1,5,3,50,100,50,100,0,85,100,85,30,85,0,100,15,85,100,100,100,100,15,70,60,1,-1,1,1,-1,1,1,1,1,74,6,"White, non-Hispanic","Female",1,1.635
"960","Yes","Clinton",70,15,70,60,4,1,4,2,6,3,1,4,4,1,1,1,4,4,2,85,30,85,70,70,70,85,50,60,85,85,50,50,70,100,50,50,60,70,50,70,1,1,0,1,0,0,1,1,1,36,10,"Hispanic","Female",17,0.491
"961","Yes","Trump",0,60,30,70,6,6,4,4,99,5,1,7,4,3,2,1,4,4,7,0,70,70,0,15,50,60,40,70,50,50,50,60,30,70,50,50,85,40,70,0,1,1,1,1,-1,0,0,0,0,24,9,"Hispanic","Male",12,0.386
"962","Yes",NA,60,70,60,85,3,3,7,6,5,1,6,3,1,1,1,1,5,2,2,40,60,85,40,60,70,100,30,85,85,100,85,70,70,85,85,60,100,100,85,50,1,0,1,1,-1,0,1,1,1,33,11,"White, non-Hispanic","Female",11,0.238
"963","Yes","Clinton",70,0,50,15,4,4,7,7,99,4,2,4,1,1,1,1,2,4,4,70,15,70,50,60,40,50,40,50,70,50,0,40,50,85,50,15,50,50,85,60,0,1,1,0,0,1,0,1,1,62,9,"White, non-Hispanic","Male",5,0.356
"964","Yes","Clinton",85,15,85,30,5,5,6,7,4,2,4,4,2,1,1,1,2,2,2,85,15,40,85,70,60,70,60,60,70,85,40,70,85,100,85,30,70,85,100,85,0,1,1,1,-1,1,0,1,0,73,13,"White, non-Hispanic","Male",12,1.115
"965","Yes","Clinton",70,30,85,50,3,2,6,7,99,99,4,2,2,4,1,2,4,4,4,70,15,50,60,50,50,50,50,50,50,50,40,50,50,100,50,NA,85,50,60,50,NA,1,1,0,0,0,1,1,1,18,10,"White, non-Hispanic","Female",21,1.536
"966","Yes","Clinton",85,0,70,15,1,2,7,7,2,1,2,1,1,1,1,1,2,2,2,70,0,15,85,100,70,85,0,30,70,100,30,40,85,40,100,15,85,100,100,100,1,1,0,1,0,0,1,1,1,53,15,"White, non-Hispanic","Female",11,0.411
"967","Yes","Trump",0,50,0,50,7,7,4,4,7,6,7,7,7,7,1,4,4,7,7,0,60,15,0,0,0,50,50,50,50,50,30,70,50,60,60,30,50,50,40,0,0,-1,-1,-1,-1,-1,0,-1,1,33,11,"White, non-Hispanic","Male",26,1.75
"968","Yes","Trump",95,96,90,90,NA,4,4,4,99,99,4,7,1,NA,7,4,2,2,2,85,100,40,40,50,15,70,85,40,30,50,15,15,0,60,15,15,50,30,60,40,1,1,1,1,-1,1,1,1,1,79,6,"White, non-Hispanic","Male",11,0.487
"969","Yes","Clinton",70,0,60,30,3,4,7,7,4,3,4,2,1,1,1,1,4,4,3,80,20,NA,80,50,60,70,50,50,70,80,20,70,70,50,100,30,70,80,80,70,0,1,1,0,0,0,1,1,0,68,13,"White, non-Hispanic","Female",24,0.916
"970","Yes","Trump",15,85,60,70,6,4,4,4,5,99,2,6,1,1,1,2,4,2,5,15,85,85,50,70,85,85,40,70,60,60,40,70,50,100,60,50,100,60,70,60,1,1,-1,1,-1,1,0,1,1,29,10,"White, non-Hispanic","Female",5,0.329
"971","Yes",NA,15,60,85,60,4,5,5,7,99,99,2,4,4,4,1,1,4,4,6,60,60,100,50,70,0,100,60,100,85,100,60,100,100,100,100,50,85,100,100,50,0,1,0,0,-1,1,-1,0,0,40,9,"White, non-Hispanic","Female",19,0.649
"972","Yes","Clinton",85,0,40,50,NA,99,NA,1,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,30,NA,NA,NA,NA,NA,NA,70,NA,1,1,0,1,1,1,1,1,1,46,8,"White, non-Hispanic","Female",1,3.085
"973","Yes","Clinton",85,0,85,15,4,3,4,NA,2,99,7,7,1,1,1,4,7,1,1,100,30,NA,NA,60,85,100,100,60,100,70,15,70,85,100,85,0,100,0,85,100,1,1,1,1,0,1,1,1,1,60,8,"Black, non-Hispanic",NA,NA,1.038
"974","Yes","Trump",15,85,30,85,4,5,6,2,6,3,1,6,2,2,7,2,4,4,4,0,85,40,15,30,70,60,60,50,70,15,70,60,30,85,70,60,100,50,85,15,1,1,1,1,-1,-1,-1,1,1,49,13,"White, non-Hispanic","Female",21,0.569
"975","Yes",NA,60,40,60,60,4,5,2,7,3,2,1,2,2,1,1,1,1,NA,2,60,40,0,50,40,50,50,40,60,50,50,40,50,50,70,50,40,60,50,70,40,1,1,1,NA,0,1,0,1,1,33,13,"White, non-Hispanic","Female",22,1.518
"976","Yes","Clinton",100,0,NA,NA,4,7,7,7,7,1,7,4,1,7,1,4,1,4,4,85,15,50,85,50,50,50,50,50,50,50,50,50,50,50,50,50,85,50,60,50,0,1,1,1,0,1,0,1,1,38,10,"Hispanic","Female",11,0.293
"977",NA,NA,50,15,50,0,NA,4,4,NA,4,4,NA,NA,4,4,4,4,6,2,2,75,0,NA,50,50,70,50,60,50,60,40,40,50,50,50,50,50,70,50,70,50,1,1,1,1,-1,1,NA,1,1,89,9,"Black, non-Hispanic","Female",7,1.148
"978","Yes","Clinton",70,0,70,40,3,4,7,7,4,3,6,2,4,2,1,1,NA,2,4,60,0,0,60,60,0,70,50,50,85,70,0,50,70,70,85,15,85,60,85,70,0,1,0,0,-1,1,-1,0,0,69,10,"White, non-Hispanic","Female",17,0.634
"979","Yes","Trump",15,85,30,70,6,7,3,5,7,5,1,4,7,5,1,1,4,6,7,15,85,85,0,15,40,50,60,70,50,30,35,50,50,100,85,70,100,30,50,0,1,0,1,1,-1,0,-1,-1,1,52,13,"White, non-Hispanic","Male",26,0.932
"980","Yes","Trump",60,70,60,70,5,5,4,4,5,4,2,6,4,2,2,2,2,4,2,50,70,70,60,60,70,60,60,60,70,60,60,50,60,90,60,60,70,50,70,60,1,1,1,1,0,1,1,0,1,45,13,"White, non-Hispanic","Male",23,0.652
"981","Yes",NA,30,60,40,60,5,6,4,7,99,3,1,6,4,1,2,1,4,4,5,15,60,60,50,50,40,70,40,60,60,50,40,50,50,100,50,50,85,50,50,70,0,1,0,1,-1,1,0,0,1,44,13,"White, non-Hispanic","Male",26,0.916
"982","Yes","Trump",0,60,0,70,6,6,2,2,99,99,6,6,5,6,1,6,2,7,5,0,70,85,15,0,0,100,0,100,60,0,60,50,0,100,100,50,100,0,85,0,1,1,1,1,0,0,1,0,1,80,13,"White, non-Hispanic","Male",1,0.557
"983","Yes",NA,50,50,30,50,NA,99,4,1,99,99,4,4,1,4,1,1,4,1,1,40,85,70,100,50,100,100,50,70,100,50,50,50,70,100,85,50,60,50,85,70,1,1,1,1,1,1,1,1,1,56,6,"White, non-Hispanic","Female",1,1.992
"984","Yes","Clinton",60,0,60,30,2,3,6,7,2,1,6,1,1,1,1,2,2,1,2,60,30,NA,40,70,60,85,60,40,85,60,40,60,70,70,85,40,40,50,100,85,0,1,1,0,0,1,1,0,1,36,14,"White, non-Hispanic","Female",26,1.719
"985","Yes","Clinton",65,35,45,35,2,5,7,7,4,4,6,3,2,3,2,4,3,2,4,60,40,50,60,40,NA,65,50,35,70,80,25,40,60,NA,80,40,65,80,100,50,0,0,1,0,-1,0,-1,1,0,18,12,"Hispanic","Male",1,1.129
"986",NA,NA,0,100,15,85,6,6,4,1,7,6,5,7,4,1,1,1,2,6,7,0,85,50,60,40,60,100,85,85,60,50,40,0,40,100,100,40,100,60,85,15,1,1,1,1,-1,1,0,0,1,71,12,"White, non-Hispanic","Female",11,0.362
"987","Yes",NA,60,0,NA,NA,NA,4,7,7,4,3,4,4,2,1,1,NA,4,4,2,60,30,50,40,50,70,70,60,50,50,50,60,50,50,60,50,50,85,60,60,60,1,1,0,1,0,1,1,1,1,35,10,"Hispanic","Female",16,0.333
"988","Yes",NA,30,40,0,0,3,3,1,2,6,1,5,6,3,1,1,1,3,1,2,30,40,50,30,30,60,70,15,50,70,50,30,40,50,70,50,30,40,50,100,50,1,1,1,-1,-1,1,0,0,0,29,13,"White, non-Hispanic","Male",15,0.365
"989","Yes","Clinton",70,0,70,0,NA,2,3,6,2,1,6,2,1,2,1,4,1,1,2,70,0,15,60,15,85,100,0,60,0,50,0,50,100,100,85,0,85,50,100,100,1,1,1,1,-1,1,1,1,1,40,9,"Black, non-Hispanic","Male",26,1.208
"990","Yes",NA,30,40,40,40,NA,5,3,4,3,3,1,5,NA,4,1,4,3,3,2,30,60,40,50,50,30,50,30,50,50,50,40,50,50,50,50,30,60,50,100,60,1,1,1,1,1,1,1,1,1,56,13,"White, non-Hispanic","Male",27,1.345
"991","Yes","Trump",20,75,25,75,NA,6,1,1,99,99,4,7,4,4,1,3,4,1,2,0,100,50,0,50,85,100,50,60,70,30,50,30,15,100,70,0,85,0,60,0,0,0,1,1,-1,0,-1,1,1,18,9,"White, non-Hispanic","Male",1,3.799
"992","Yes","Trump",30,70,50,70,5,99,1,1,6,2,2,7,2,1,1,7,4,4,4,10,80,50,0,40,40,100,25,60,65,25,65,25,50,100,50,25,100,10,40,0,1,1,1,1,-1,1,1,1,1,22,9,"White, non-Hispanic","Male",16,2.105
"993","Yes","Trump",0,85,15,50,6,6,4,NA,6,6,2,4,4,1,1,1,1,5,4,0,70,50,70,40,15,70,60,60,100,50,40,50,50,100,50,60,70,50,50,15,0,0,1,0,-1,1,-1,0,1,66,13,"White, non-Hispanic","Female",27,0.66
"994","Yes","Trump",0,85,0,60,7,7,4,4,7,3,2,7,6,2,1,2,6,4,6,0,70,50,0,15,0,100,60,100,30,0,50,60,50,100,100,85,70,0,70,15,0,0,0,-1,-1,-1,0,-1,1,70,9,"White, non-Hispanic","Female",1,1.091
"995",NA,NA,85,0,70,40,3,4,5,6,99,3,3,2,3,1,2,1,4,3,2,85,15,40,70,70,40,70,60,70,70,85,50,50,85,85,85,40,85,85,85,70,1,1,1,1,1,1,1,1,0,26,13,"White, non-Hispanic","Female",17,0.854
"996","Yes",NA,30,60,40,40,NA,6,4,6,6,7,7,7,4,4,1,1,6,2,6,30,50,40,50,15,30,70,40,50,70,50,40,40,50,70,50,50,85,50,50,30,1,1,1,1,-1,1,-1,-1,1,55,10,"Hispanic","Female",22,1.737
"997",NA,NA,0,100,0,70,NA,7,1,1,7,99,1,7,1,1,1,4,7,2,2,30,100,60,100,15,100,40,60,40,15,0,50,60,0,100,30,50,85,15,40,50,1,1,1,1,-1,1,-1,1,1,37,10,"Hispanic","Female",28,0.766
"998","Yes","Trump",0,85,0,70,6,6,1,1,7,3,NA,7,NA,4,1,1,5,4,3,0,100,0,50,0,50,50,70,85,50,0,50,50,0,0,50,50,100,0,50,0,1,1,1,1,-1,-1,0,0,0,54,9,"White, non-Hispanic","Female",1,0.534
"999","Yes",NA,15,50,15,60,6,4,2,2,4,5,4,6,NA,NA,4,2,NA,NA,NA,15,60,85,15,30,40,100,50,60,30,50,40,50,70,70,100,60,85,50,50,40,NA,NA,0,1,-1,0,0,0,1,64,9,"White, non-Hispanic","Female",15,1.565
"1000","Yes","Clinton",85,0,70,0,NA,1,4,4,1,2,4,4,4,4,7,4,6,4,1,100,0,100,50,NA,NA,100,85,NA,70,50,50,100,50,100,50,85,100,50,85,100,1,1,0,1,1,1,1,1,0,20,9,"Black, non-Hispanic","Male",3,0.94
"1001","Yes","Clinton",70,0,65,30,2,3,7,7,4,2,6,1,1,2,1,1,5,2,NA,70,15,40,70,70,65,80,35,60,65,70,10,50,70,80,80,5,80,75,70,85,1,1,1,-1,1,1,1,1,1,49,13,"White, non-Hispanic","Male",20,0.655
"1002","Yes","Trump",15,40,50,85,4,5,4,2,99,99,1,7,4,2,1,6,6,2,2,0,70,85,85,0,40,85,60,40,30,0,60,50,40,100,100,30,70,0,60,50,1,1,1,1,0,1,1,0,1,55,4,"Other","Male",7,0.163
"1003","Yes",NA,60,0,70,15,4,2,6,7,3,2,7,4,1,1,1,4,4,1,4,70,0,60,100,70,30,85,15,50,85,100,70,40,100,70,100,0,15,100,100,100,0,1,1,0,1,1,1,1,0,20,7,"White, non-Hispanic","Male",5,1.689
"1004","Yes","Trump",0,85,0,30,6,6,1,2,6,5,7,7,6,7,1,2,4,6,7,0,85,75,50,30,0,90,60,100,50,60,15,85,75,100,100,90,100,50,85,0,1,-1,0,0,-1,1,-1,-1,1,67,14,"White, non-Hispanic","Male",25,1.076
"1005","Yes","Clinton",100,30,85,30,2,2,7,7,1,2,5,3,3,7,7,4,7,1,3,85,15,70,85,85,70,100,40,30,50,50,30,50,50,100,50,50,50,50,50,70,1,1,1,1,1,1,1,1,1,29,13,"Black, non-Hispanic","Male",21,0.801
"1006","Yes",NA,30,30,30,30,5,5,4,6,6,2,7,4,1,6,1,4,2,1,4,30,30,0,30,40,30,50,30,60,50,50,0,40,50,50,50,15,60,50,50,40,0,1,1,0,0,NA,1,0,0,54,13,"White, non-Hispanic","Male",25,0.319
"1007",NA,NA,15,85,NA,NA,NA,6,4,4,7,99,7,2,4,6,1,1,5,4,5,0,85,70,60,85,70,30,85,50,85,60,85,70,50,100,85,15,85,50,85,50,1,1,1,1,-1,1,1,1,1,38,6,"White, non-Hispanic","Male",9,0.77
"1008","Yes",NA,30,50,15,40,5,6,2,6,6,2,1,2,2,1,2,6,4,6,6,30,40,50,60,85,70,100,70,100,85,100,70,85,100,100,100,60,85,100,100,85,1,1,0,0,0,0,1,1,1,24,13,"White, non-Hispanic","Male",28,0.887
"1009","Yes",NA,40,40,50,50,NA,99,6,1,7,1,4,5,1,1,1,4,4,2,2,30,0,50,50,50,85,85,15,50,85,50,15,50,60,85,85,60,100,50,85,30,1,1,1,1,1,0,0,1,1,53,8,"Other","Male",1,1.21
"1010","Yes","Trump",15,85,40,70,5,6,2,1,6,4,3,6,6,2,1,1,3,6,3,15,70,85,40,40,40,70,60,70,70,70,40,70,85,100,85,70,85,70,70,30,1,0,1,1,-1,-1,1,-1,1,64,13,"White, non-Hispanic","Female",17,0.287
"1011","Yes",NA,70,40,70,30,3,4,7,6,3,1,7,4,1,2,2,1,4,1,2,40,15,60,60,40,50,70,30,30,60,60,40,50,50,60,50,50,60,60,60,60,0,1,0,1,0,1,1,1,0,24,10,"White, non-Hispanic","Male",12,1.102
"1012",NA,NA,60,0,70,40,4,4,4,5,5,3,6,5,2,1,1,2,2,4,4,60,30,70,70,60,60,85,60,60,85,NA,40,NA,NA,85,85,60,60,40,100,70,1,1,1,1,-1,1,-1,1,0,68,13,"White, non-Hispanic","Female",5,0.29
"1013","Yes",NA,50,0,55,45,2,6,4,7,4,2,7,1,2,2,1,1,4,1,3,15,15,0,60,100,70,50,50,50,50,50,0,50,40,50,50,15,70,70,100,70,0,1,1,0,0,0,0,1,0,45,13,"White, non-Hispanic","Male",20,0.376
"1014","Yes","Trump",0,60,40,70,7,4,5,6,4,4,4,4,5,2,1,1,4,4,2,0,85,NA,50,30,70,50,50,70,50,50,60,50,40,100,50,50,100,50,70,30,0,1,1,1,-1,-1,0,0,1,34,11,"White, non-Hispanic","Female",14,0.729
"1015","No",NA,60,0,50,50,NA,4,7,7,4,2,6,7,NA,2,1,4,4,4,4,60,30,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,1,0,0,0,1,1,0,1,37,10,"White, non-Hispanic","Female",8,0.187
"1016","Yes","Clinton",85,60,60,50,4,1,1,7,4,2,7,6,6,1,1,4,4,2,2,85,70,85,70,60,85,100,85,70,85,40,70,85,85,100,85,60,85,40,100,60,1,1,1,1,-1,1,1,1,1,72,9,"Black, non-Hispanic","Female",5,1.169
"1017","Yes","Clinton",85,30,70,50,2,4,6,6,3,4,7,2,2,1,1,1,1,1,2,85,40,70,100,85,85,85,30,40,50,85,40,50,100,100,100,15,100,100,100,85,1,1,1,1,1,1,0,0,1,71,12,"White, non-Hispanic","Female",11,0.32
