idnumber,CNweight,current_democracy,previous_democracy,future_democracy,democracy_fit,national_interest,family_interest,year_schooling,region,gender,education,education_num,occupation,age,vote,election_freefair,secure_feeling,pol_interest,pol_news,internet_use,pol_discuss,contact_highest,contact_high_official,contact_com_leader,contact_influent_non_official,contact_media,oi_gov_resp_voters,oi_gov_employee,oi_media_freedom,oi_individualism,oi_election_necc,oi_multiparty,trust_court,trust_nat_gov,trust_party,trust_local_gov,local_part,petition,protest,regime_capability,system_proud,qg_people_power,qg_equality,qg_speech_freedom,qg_gathering_freedom,qg_responsiveness,local_corruption,defend_system,current_china_influence,future_china_influence
462,1.1333441062900562,10,8,10,9,2,3,12,urban,Male,Complete secondary/high school,7,Working for an outside employer,31,No,4,3,3,4,5,1,0,2,2,0,1,-1,-1,1,-1,-1,-1,4,4,4,3,1,1,0,3,3,3,2,3,3,4,3,3,0,0
463,1.0161151775589086,7,3,10,8,3,4,12,urban,Male,University education completed,9,Not employed,22,No,5,4,3,4,5,1,2,0,1,1,0,-1,-1,-1,1,1,-1,4,3,3,3,0,0,0,4,4,2,3,3,3,4,2,2,1,1
464,1.1333441062900562,7,8,9,5,2,3,6,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,32,Not applicable,NA,3,1,2,5,0,0,0,0,0,0,-1,-1,1,-1,1,NA,2,3,NA,2,0,0,0,2,2,3,3,3,3,3,3,3,0,0
465,0.8316045511811848,6,6,6,7,4,4,9,urban,Male,Complete primary/elementary,3,Not employed,47,Yes,2,3,3,4,1,2,1,1,2,2,2,-1,-2,-1,-1,-1,-1,3,3,3,4,1,1,1,3,3,3,3,3,3,4,1,4,1,1
466,0.8353769348807448,3,1,10,10,4,4,0,urban,Male,Complete primary/elementary,3,Working in family business,61,Yes,5,3,3,4,0,1,0,0,0,1,0,-2,-1,-1,1,1,-2,3,4,4,3,0,0,0,3,3,3,3,3,3,3,3,3,0,1
467,0.8316045511811848,6,8,10,5,3,3,6,urban,Male,Some university education,8,Not employed,40,Yes,2,3,4,4,5,2,2,2,1,1,0,-1,-1,-1,1,1,1,3,4,4,2,0,0,0,3,3,3,2,3,2,3,4,3,1,1
468,0.8316045511811848,10,10,10,10,4,4,15,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,44,Yes,5,4,2,2,2,1,2,1,1,0,0,-1,-1,-1,-1,-1,-1,4,4,4,4,1,0,1,3,3,3,3,3,3,4,1,3,1,1
469,0.9043950891372622,8,5,8,7,3,3,9,urban,Male,Complete secondary/high school,7,Working for an outside employer,55,Yes,3,4,4,4,5,1,0,2,0,1,0,1,2,2,2,2,2,3,3,3,3,0,0,0,3,3,3,3,3,2,3,2,3,1,1
470,1.0096336220149031,8,2,10,8,3,4,12,urban,Female,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,57,Yes,3,3,2,1,0,2,0,0,0,0,0,1,1,-2,2,1,-1,4,4,3,3,0,0,0,4,3,4,4,2,2,3,2,4,1,0
472,1.1343538453772095,6,6,6,6,NA,NA,9,urban,Female,Complete secondary/high school,7,Not employed,26,Not applicable,NA,3,3,4,5,0,0,0,0,0,0,1,1,-1,-1,1,1,NA,NA,NA,NA,0,0,0,NA,NA,2,3,2,3,NA,NA,3,0,0
473,0.8316045511811848,5,3,8,8,3,3,5,urban,Male,Complete secondary/high school,7,Self-employed or business owner,46,Not applicable,NA,3,3,3,5,2,0,0,0,0,0,2,2,1,NA,1,1,2,2,NA,3,0,0,0,2,2,3,2,2,2,NA,3,NA,1,1
474,0.8353769348807448,8,8,10,5,3,3,13,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,73,Yes,3,4,4,4,0,2,0,1,0,0,0,1,1,1,-1,2,1,3,3,3,3,0,0,0,3,2,3,2,3,2,3,NA,3,1,1
475,0.8316045511811848,8,5,9,8,3,3,9,urban,Male,University education completed,9,Not employed,43,No,4,4,4,4,5,2,2,2,1,2,0,2,2,2,2,2,2,3,3,3,3,1,2,0,3,3,3,2,2,2,4,3,3,0,1
476,1.0096336220149031,8,7,9,8,2,3,15,urban,Female,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,54,No,3,4,2,3,0,1,0,0,0,0,0,1,2,1,1,1,1,3,3,3,3,0,0,0,3,3,2,3,3,3,3,2,3,1,1
477,1.1333441062900562,9,5,10,7,4,2,9,urban,Male,Some university education,8,Not employed,34,Yes,5,4,3,4,5,1,0,1,0,0,0,-2,NA,-2,2,2,-2,3,4,4,NA,0,0,0,3,4,4,2,2,2,3,2,3,1,1
478,1.0161151775589086,1,1,5,1,1,1,16,urban,Male,Some university education,8,Working for an outside employer,26,No,4,3,3,4,5,1,0,1,1,2,0,2,2,2,-2,2,2,3,3,2,2,0,0,0,2,2,3,1,1,1,2,4,2,0,0
480,0.8353769348807448,8,5,8,5,3,3,15,urban,Male,Complete primary/elementary,3,Working in family business,74,Not applicable,NA,2,2,4,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,3,3,3,3,0,0,0,3,3,2,2,3,3,2,2,NA,0,1
481,0.9283729259234262,8,8,10,8,3,4,6,urban,Female,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,40,No,NA,3,2,2,0,1,0,2,0,0,0,2,2,-1,-1,2,-1,3,3,4,3,0,0,0,3,3,3,4,3,3,3,3,4,0,1
482,0.9043950891372622,7,4,7,5,3,3,9,urban,Male,Complete secondary/high school,7,Working for an outside employer,55,Yes,2,4,2,4,5,1,0,2,0,2,0,-2,2,2,-2,2,2,3,3,2,2,2,0,2,2,2,2,2,3,2,3,3,3,0,1
483,0.9325842772055855,8,3,10,8,4,3,12,urban,Female,Incomplete primary/elementary,2,Working for an outside employer,74,Not applicable,NA,3,4,4,0,2,0,0,0,0,0,2,-2,-2,-2,-2,-2,3,3,3,3,0,0,0,3,3,2,3,3,3,3,2,4,1,1
484,1.1333441062900562,7,8,9,5,2,3,0,urban,Male,Complete secondary/high school: technical/vocational type,5,Not employed,32,Not applicable,NA,3,1,2,5,0,0,0,0,0,0,-1,-1,1,-1,1,NA,3,2,3,3,0,0,0,2,2,3,3,3,3,3,3,3,0,0
485,1.1343538453772095,7,5,10,7,3,3,9,urban,Female,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,24,Yes,2,4,3,4,4,1,0,2,0,1,0,1,1,-1,1,-1,-1,3,3,3,4,0,2,0,3,NA,3,3,3,3,2,3,3,0,0
486,0.9325842772055855,8,7,10,9,4,4,12,urban,Female,Complete secondary/high school,7,Not employed,65,No,4,3,3,4,0,1,0,0,0,0,0,-1,-2,-1,-1,-2,-2,3,4,4,3,0,0,0,4,4,3,3,3,3,3,2,4,1,1
487,0.8316045511811848,8,5,8,7,3,3,3,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,41,No,3,3,3,4,0,2,2,2,2,2,0,-1,1,1,1,1,-1,3,3,3,3,2,0,2,3,4,3,2,2,2,4,4,4,1,1
488,0.8316045511811848,8,5,8,8,3,3,6,urban,Male,Complete primary/elementary,3,Working for an outside employer,49,No,3,4,3,3,1,1,0,2,2,2,0,NA,NA,NA,NA,NA,NA,3,3,3,3,2,0,0,3,3,NA,NA,NA,NA,3,3,3,NA,1
489,0.9043950891372622,5,3,10,8,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Not employed,50,Yes,2,3,2,4,0,0,0,2,2,2,0,-2,-1,-2,2,-1,-2,3,4,3,NA,0,0,0,3,3,3,3,3,3,3,3,2,1,1
491,0.8316045511811848,7,5,10,10,3,3,11,urban,Male,Some university education,8,Working for an outside employer,47,Yes,5,4,3,4,5,1,0,0,0,0,0,1,1,-2,2,1,2,4,4,4,4,0,0,0,3,3,3,3,3,2,4,2,3,1,1
492,0.8353769348807448,8,5,10,8,4,4,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Not employed,61,Yes,4,3,3,4,4,2,0,0,0,0,0,1,1,-2,-2,-1,-1,3,3,3,3,0,0,0,3,3,3,3,3,3,3,3,4,1,1
493,1.1333441062900562,5,6,10,5,2,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,39,Yes,4,3,2,4,0,0,NA,NA,NA,0,0,-2,-1,-1,-1,1,-2,3,4,4,3,0,0,0,3,NA,3,3,3,2,4,3,3,1,1
494,1.265223936713798,8,5,10,6,3,4,12,urban,Female,Some university education,8,Working for an outside employer,34,Yes,5,4,2,2,5,1,0,1,1,0,0,2,-1,1,-1,-1,-1,4,4,4,4,0,0,0,3,3,3,4,4,4,4,2,3,1,1
495,0.9283729259234262,10,10,10,9,4,4,12,urban,Female,Some university education,8,Working for an outside employer,42,Yes,5,3,3,4,1,2,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,0,0,0,3,3,3,2,3,3,3,2,1,1,1
496,1.0161151775589086,5,3,9,3,1,2,13,urban,Male,University education completed,9,Working for an outside employer,22,Yes,5,3,2,3,5,0,0,1,1,1,0,-2,-1,2,-2,-1,2,3,3,3,3,1,0,0,3,3,3,3,1,2,3,2,1,1,1
498,1.1343538453772095,5,3,9,5,2,3,16,urban,Female,University education completed,9,Working for an outside employer,24,Not applicable,4,3,3,4,5,1,0,2,0,2,0,-1,1,-1,1,1,-1,3,3,3,3,0,0,0,3,3,3,2,3,3,3,2,3,1,1
499,1.1343538453772095,5,3,9,5,2,3,16,urban,Female,University education completed,9,Working for an outside employer,24,Yes,4,3,4,4,5,1,0,2,0,2,0,-1,1,-1,1,1,-1,3,3,3,3,0,0,0,3,3,3,2,3,3,3,2,3,1,1
500,1.1333441062900562,5,3,7,8,2,3,17,urban,Male,Some university education,8,Working for an outside employer,36,Yes,5,4,3,4,5,1,1,1,0,1,0,1,NA,-1,-1,1,NA,4,4,4,3,0,0,0,3,3,3,3,3,2,4,1,2,1,1
501,1.1333441062900562,5,6,10,5,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,32,Yes,5,3,2,3,5,1,0,0,0,0,0,2,2,2,2,-1,2,3,3,3,3,0,0,0,3,3,3,3,3,3,3,2,3,0,1
502,1.1333441062900562,8,8,9,7,2,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,34,No,4,4,3,4,5,1,0,1,0,0,0,-1,-1,-1,-1,-2,-2,3,3,3,3,0,0,0,2,2,2,3,3,2,3,NA,2,0,0
503,1.265223936713798,7,5,9,10,3,3,NA,urban,Female,Complete secondary/high school: technical/vocational type,5,Working in family business,31,Yes,5,4,3,4,5,1,0,0,0,0,0,1,2,-2,2,2,1,4,4,4,4,0,0,0,3,3,3,3,3,2,4,2,3,1,1
505,0.8316045511811848,8,4,10,6,3,3,5,urban,Male,Complete primary/elementary,3,Working in family business,46,Not applicable,NA,2,3,4,1,2,0,1,0,1,0,-2,2,-1,-1,2,1,3,3,3,3,0,0,0,2,3,1,3,3,3,3,3,3,1,0
506,0.8316045511811848,8,6,9,6,3,3,15,urban,Male,University education completed,9,Working for an outside employer,42,Not applicable,NA,3,3,4,5,1,0,0,1,1,0,1,1,-2,-2,1,-1,2,3,3,3,0,0,0,3,2,3,2,3,3,3,4,3,0,1
507,0.8353769348807448,6,2,7,6,2,2,2,urban,Male,Complete primary/elementary,3,Not employed,79,Not applicable,NA,3,3,4,4,1,0,0,0,0,0,-1,1,1,1,1,1,3,3,2,3,1,1,0,2,3,3,2,3,2,3,3,2,0,1
508,0.8316045511811848,3,1,7,9,3,3,5,urban,Male,Complete primary/elementary,3,Working in family business,49,NA,3,3,2,2,4,1,0,1,0,NA,0,1,1,1,1,-1,1,3,3,3,3,0,0,0,3,3,2,2,2,3,2,3,3,0,1
509,0.8353769348807448,6,5,9,8,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Not employed,68,Not applicable,NA,4,3,4,5,2,0,1,0,1,0,-1,1,-1,1,1,2,3,4,4,3,0,0,0,3,3,3,1,2,2,3,3,4,0,0
510,0.8353769348807448,8,3,9,10,3,3,15,urban,Male,University education completed,9,Not employed,66,Not applicable,NA,3,4,4,5,1,0,0,0,0,0,-2,2,1,-1,2,1,3,3,3,3,0,1,0,3,2,3,2,3,3,3,3,3,0,1
511,1.1333441062900562,6,5,8,5,3,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,32,Yes,3,3,2,3,5,1,0,1,1,1,0,1,1,1,1,-1,-1,3,3,3,3,0,0,0,3,3,3,3,2,2,3,2,3,1,1
512,0.9043950891372622,6,4,8,5,2,2,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,52,Not applicable,NA,3,2,0,0,0,0,0,0,0,0,-1,1,-1,1,-1,-1,3,3,3,3,0,0,0,3,2,2,2,2,2,2,NA,3,1,1
513,0.9283729259234262,9,4,10,8,3,3,5,urban,Female,Complete primary/elementary,3,Working for an outside employer,41,Not applicable,NA,3,3,3,4,1,0,0,0,0,0,-1,-1,-2,2,1,-1,3,3,4,3,0,0,0,3,3,2,3,2,2,3,2,3,0,0
514,1.1333441062900562,10,3,10,7,3,3,1,urban,Male,Complete secondary/high school,7,Working for an outside employer,34,No,2,3,3,2,5,1,0,1,0,1,0,1,2,-1,-1,2,-1,3,3,3,3,0,0,0,2,3,3,3,2,2,3,2,3,0,1
515,0.8316045511811848,7,3,8,5,3,2,5,urban,Male,Complete primary/elementary,3,Working for an outside employer,49,No,4,3,2,2,0,1,0,0,1,1,0,1,1,NA,1,1,1,3,3,3,3,0,0,0,2,3,3,3,3,3,2,3,3,0,1
516,0.9043950891372622,10,6,10,6,4,3,7,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,50,Yes,3,2,2,4,4,1,0,2,0,0,0,-2,-2,2,-2,1,-1,3,4,4,3,0,0,0,2,2,3,3,3,3,3,3,4,1,1
517,1.0161151775589086,4,3,10,6,3,3,15,urban,Male,University education completed,9,Working in family business,29,Yes,2,3,3,4,5,2,0,2,2,1,0,-2,1,-1,-1,1,-1,2,3,2,2,0,0,0,2,2,3,2,2,2,2,4,3,0,0
518,1.0161151775589086,5,2,8,4,4,3,9,urban,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,28,Yes,4,2,2,3,5,1,0,1,1,2,0,-2,-2,2,2,2,-1,2,3,3,2,0,0,0,3,3,3,4,4,3,3,4,3,1,1
519,0.7907724910902311,8,5,8,6,3,3,0,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,77,Yes,4,3,3,4,5,1,0,0,1,1,0,-1,-1,-1,1,-1,1,3,3,3,2,0,0,0,3,3,3,3,3,3,3,3,3,0,1
520,1.0728298864528265,8,1,10,7,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,32,No,4,3,2,1,0,1,0,0,0,0,0,1,-1,-1,1,1,-1,3,3,3,3,0,0,0,3,3,2,3,3,3,3,NA,3,0,1
521,0.8316045511811848,6,3,9,5,3,3,12,urban,Male,Complete secondary/high school,7,Working for an outside employer,49,Not applicable,NA,4,3,4,5,1,0,0,1,1,0,-1,1,-1,-1,1,-1,3,3,4,3,0,0,0,3,3,3,2,2,3,3,3,4,0,1
522,1.0728298864528265,9,7,10,9,4,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,39,No,4,3,3,4,0,0,0,0,0,1,0,-1,1,-1,1,2,1,4,4,4,3,0,0,0,4,4,2,4,3,2,4,2,4,1,1
523,0.856105462941635,7,3,9,5,3,3,7,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Working in family business,50,Yes,2,4,1,4,0,0,0,2,0,2,0,1,1,1,1,1,-1,3,3,3,3,0,0,0,3,3,3,2,3,2,3,4,3,1,1
524,0.7872015315258817,7,4,9,9,3,2,5,rural,Male,Complete primary/elementary,3,Working in family business,43,No,5,3,3,4,5,1,0,1,0,0,0,-1,1,-1,1,1,1,3,4,4,2,0,0,0,3,3,4,4,3,1,3,3,3,1,1
525,0.856105462941635,10,5,10,10,2,3,2,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,56,Not applicable,NA,3,2,0,1,0,0,0,0,0,0,-1,-1,-2,2,-2,-2,2,NA,3,2,0,0,0,3,3,3,3,2,2,3,3,4,1,1
526,0.7872015315258817,7,6,10,8,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,49,Yes,2,3,3,4,0,1,1,1,0,1,0,1,-1,1,-1,1,1,3,3,3,3,0,0,0,4,3,3,3,4,3,3,2,3,0,0
527,0.856105462941635,10,8,10,10,3,3,10,rural,Male,Complete secondary/high school,7,Peasant/farmer,52,Yes,5,3,3,4,0,2,1,1,0,0,0,-2,2,2,2,2,-2,3,4,4,3,0,0,0,3,3,3,3,3,3,3,2,3,0,1
528,0.7872015315258817,8,7,9,8,3,3,9,rural,Male,Some university education,8,Working in family business,47,Yes,4,3,3,4,4,1,2,1,1,2,0,-1,-1,-1,1,1,-1,2,4,4,2,1,0,0,3,3,3,3,3,3,4,2,4,0,1
529,0.7872015315258817,6,3,10,6,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,45,Yes,5,3,3,2,0,1,0,2,2,2,0,-1,-1,-1,-1,-1,-1,3,3,3,3,0,0,0,3,2,2,3,2,3,4,2,2,0,0
530,1.0728298864528265,3,4,5,8,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,38,Yes,4,3,4,4,0,1,0,2,1,1,0,-1,1,1,1,2,-2,4,3,3,3,0,0,0,3,3,3,3,3,3,3,3,3,1,0
531,0.7872015315258817,7,2,4,10,3,3,10,rural,Male,Complete secondary/high school,7,Working for an outside employer,40,Not applicable,NA,NA,3,4,1,1,0,2,0,2,0,-1,-1,1,1,1,-1,4,4,4,4,1,0,0,3,3,2,3,3,3,4,2,3,0,0
532,1.0728298864528265,7,3,10,7,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,37,Yes,5,3,3,4,1,1,0,1,0,1,0,1,1,1,1,1,-1,3,3,3,3,0,0,0,3,3,2,3,3,2,4,2,3,1,1
533,0.7907724910902311,8,4,9,6,3,3,7,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,60,Yes,4,3,3,4,0,1,0,1,0,2,0,1,1,1,1,1,-1,3,4,4,3,0,0,0,3,3,2,3,3,3,4,2,3,1,1
534,0.8788030177036141,8,5,10,6,3,3,7,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,48,Yes,5,4,3,4,2,2,2,2,0,0,0,2,2,2,2,1,-1,4,4,4,4,0,0,0,3,3,3,3,3,3,3,1,2,0,0
535,0.856105462941635,8,5,10,8,3,4,7,rural,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,51,Yes,5,3,3,3,1,0,1,1,0,1,0,-1,1,-2,2,2,-1,3,4,4,3,0,0,0,4,4,3,4,3,3,3,2,2,1,1
536,0.7872015315258817,8,5,10,7,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,49,No,4,3,3,4,0,0,0,2,0,1,0,-1,1,-1,1,1,-1,3,3,3,3,0,0,0,2,3,2,3,3,3,4,2,3,1,1
537,0.856105462941635,9,6,10,6,3,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,59,Yes,4,3,2,4,0,0,0,0,0,0,0,-1,-1,-1,-1,1,-1,3,4,4,3,0,0,0,3,2,2,3,3,3,3,2,2,0,1
538,0.7872015315258817,5,4,8,7,3,3,12,rural,Male,Complete secondary/high school,7,Working for an outside employer,46,No,4,3,2,4,0,0,1,1,1,1,0,1,1,1,1,1,-1,3,4,4,3,0,0,0,3,3,3,3,3,3,3,3,3,1,1
539,0.856105462941635,8,7,10,7,3,3,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,59,No,3,3,3,0,0,1,2,2,0,2,0,1,1,1,1,1,1,2,4,4,2,2,0,0,3,3,3,2,3,3,4,3,3,1,1
540,0.7872015315258817,7,3,10,6,3,3,3,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,49,No,3,3,3,4,0,1,0,2,0,1,0,1,-1,-1,-1,1,-1,3,3,3,3,0,0,0,3,3,3,3,2,2,3,2,3,1,0
541,0.7872015315258817,8,4,10,7,3,3,8,rural,Male,Incomplete secondary/high school: technical/vocational type,4,Working in family business,47,Yes,5,3,2,4,1,0,0,1,0,0,0,-1,-1,-1,1,1,-1,4,4,4,4,0,0,0,3,3,2,3,3,3,4,2,3,1,1
542,0.7907724910902311,5,5,6,6,2,3,1,rural,Male,Incomplete primary/elementary,2,Working in family business,72,Yes,5,3,1,4,4,0,1,0,0,0,0,-1,1,-1,1,1,-1,2,4,4,3,0,0,0,3,3,3,3,3,2,3,2,2,1,1
543,0.9557248483083305,8,5,10,9,2,3,3,rural,Female,Incomplete primary/elementary,2,Peasant/farmer,54,Yes,5,4,2,3,1,1,0,0,0,2,0,-2,-1,-1,-1,1,-1,3,3,3,3,0,0,0,3,3,2,3,3,3,3,1,3,1,1
544,0.856105462941635,10,2,10,5,3,3,5,rural,Male,Complete primary/elementary,3,Not employed,52,NA,4,3,3,2,0,1,0,2,2,2,0,2,-1,-1,1,2,-1,3,4,4,3,0,0,0,3,3,2,2,3,2,3,1,2,0,0
545,0.856105462941635,7,3,10,6,3,3,7,rural,Male,Complete secondary/high school: technical/vocational type,5,Working for an outside employer,56,Yes,4,3,2,4,1,0,0,0,0,0,0,1,1,-2,2,-2,-1,4,4,4,3,0,0,0,3,3,3,3,3,3,3,1,3,1,1
546,0.7872015315258817,8,4,10,7,3,3,11,rural,Male,Complete secondary/high school,7,Working for an outside employer,40,Yes,5,3,3,4,5,2,0,1,1,1,1,1,-2,2,-2,-2,2,3,4,2,4,1,0,0,3,3,2,3,3,3,3,3,2,0,1
547,0.8788030177036141,7,3,10,7,3,3,11,rural,Female,Complete secondary/high school,7,Peasant/farmer,46,Yes,5,3,3,3,1,0,0,1,0,0,0,-1,-1,-1,1,1,-1,4,4,4,3,0,0,0,3,4,3,4,3,3,4,2,2,0,1
548,1.19766807347271,9,8,10,8,3,3,8,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,37,Yes,5,3,2,3,5,1,0,1,0,1,0,2,2,-1,-1,2,-2,4,4,4,4,0,0,0,4,4,3,3,3,3,4,2,3,1,1
549,1.0737857111350257,8,5,10,8,3,3,10,rural,Female,Complete secondary/high school,7,Working for an outside employer,21,Yes,4,3,2,4,5,1,1,2,0,0,0,2,1,1,1,1,-2,3,4,4,4,0,0,0,3,3,3,3,3,3,3,2,3,1,1
550,0.7872015315258817,8,6,10,8,3,3,3,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,46,Yes,4,3,1,1,0,1,0,1,1,1,0,-1,1,2,2,1,-1,2,4,4,3,0,0,0,3,3,3,3,3,3,3,2,3,NA,NA
551,1.0737857111350257,5,3,9,5,3,3,8,rural,Female,Complete secondary/high school: technical/vocational type,5,Not employed,24,No,4,3,1,1,1,1,0,0,0,0,0,1,2,1,1,1,-1,3,3,3,3,0,0,0,3,3,2,3,3,3,3,3,2,0,1
552,0.7872015315258817,5,1,10,7,3,2,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,45,Not applicable,NA,3,2,3,1,0,0,0,0,0,0,2,-1,-1,-1,2,1,1,1,1,3,1,0,0,2,3,3,3,3,3,4,3,3,0,0
553,0.7872015315258817,8,3,10,7,3,4,3,rural,Male,Incomplete primary/elementary,2,Working for an outside employer,43,Not applicable,NA,3,2,3,0,0,0,0,0,0,0,2,1,1,-1,-2,-2,4,3,4,3,0,0,0,3,4,2,4,4,4,4,3,3,0,1
554,0.7872015315258817,8,3,10,5,4,4,9,rural,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,48,Not applicable,NA,3,2,2,0,0,0,0,0,0,0,-1,-1,-1,1,2,-2,3,4,4,3,0,0,0,4,3,2,4,3,3,2,1,2,0,0
555,0.7872015315258817,8,3,10,8,2,3,8,rural,Male,Complete secondary/high school: technical/vocational type,5,Working in family business,41,Not applicable,NA,4,3,3,0,1,0,0,0,1,0,1,2,1,1,2,1,3,3,3,3,0,0,0,3,4,1,3,3,3,4,2,3,1,0
556,0.9618603251328185,9,5,10,10,3,3,11,rural,Male,Complete secondary/high school,7,Working for an outside employer,18,No,5,3,2,3,4,0,0,0,0,0,0,-2,-2,2,-2,-2,-2,3,4,4,3,0,0,0,3,3,3,4,3,3,3,2,3,1,1
557,0.856105462941635,8,3,10,6,3,3,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,54,No,5,4,3,1,0,0,0,0,0,1,0,-1,-1,1,1,-1,-1,4,4,4,4,0,0,0,4,4,3,3,2,3,4,2,3,1,1
558,0.856105462941635,9,4,10,8,3,3,12,rural,Male,Complete secondary/high school,7,Peasant/farmer,54,No,4,3,2,3,0,0,1,0,0,0,0,2,2,-1,1,-1,-2,3,4,4,4,0,0,0,3,4,3,3,3,3,4,3,3,1,1
559,1.19766807347271,8,4,10,7,4,3,8,rural,Female,Complete secondary/high school: technical/vocational type,5,Peasant/farmer,39,No,4,4,1,1,0,0,0,0,0,0,0,-1,2,1,1,2,-1,3,4,4,3,0,0,0,4,3,3,4,4,4,3,2,2,1,0
560,0.7907724910902311,10,8,10,10,1,3,3,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,60,Not applicable,NA,3,2,1,0,0,0,0,0,0,0,-1,-1,-2,2,-1,-2,2,NA,3,2,0,0,0,3,3,3,3,2,2,3,3,3,1,1
561,0.856105462941635,8,4,10,7,3,2,5,rural,Male,Complete primary/elementary,3,Working in family business,59,Yes,3,3,2,1,0,1,0,0,0,0,0,1,1,-1,1,-1,-1,3,3,3,3,0,0,0,3,3,3,NA,3,3,NA,2,3,1,1
562,0.7907724910902311,7,3,10,5,3,3,12,rural,Male,Complete secondary/high school,7,Peasant/farmer,61,No,2,3,2,1,0,0,0,0,0,0,0,1,1,1,1,-1,-1,3,3,4,3,0,0,0,3,3,3,3,3,3,3,NA,3,1,1
563,0.856105462941635,9,7,10,7,3,3,9,rural,Male,Complete secondary/high school,7,Working for an outside employer,52,Not applicable,NA,3,2,1,0,1,0,1,1,0,0,1,1,-1,-1,-1,-1,3,3,3,3,1,0,0,3,3,3,3,3,3,3,3,3,0,1
564,0.856105462941635,6,3,10,5,2,3,5,rural,Male,Complete primary/elementary,3,Peasant/farmer,56,Not applicable,NA,3,1,3,0,1,0,0,0,0,0,-1,1,1,1,1,-1,3,3,3,3,0,0,0,3,3,3,3,3,3,3,3,3,0,1
565,0.856105462941635,2,1,2,1,3,2,10,rural,Male,Complete secondary/high school,7,Peasant/farmer,58,Yes,2,2,3,1,0,0,2,2,1,1,0,1,1,1,-1,1,-1,3,3,3,2,0,0,0,2,2,3,2,1,NA,2,1,2,0,0
566,0.856105462941635,6,5,8,6,3,3,5,rural,Male,Complete primary/elementary,3,Not employed,57,Not applicable,NA,3,2,1,0,0,0,1,0,0,0,1,1,2,2,1,1,3,3,3,3,0,0,0,3,3,3,3,3,3,3,2,3,1,1
567,0.7872015315258817,6,3,10,6,3,3,3,rural,Male,Incomplete primary/elementary,2,Working for an outside employer,43,No,3,2,2,2,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,0,0,0,3,3,3,3,3,3,3,3,3,1,1
568,0.7907724910902311,7,3,10,NA,2,2,3,rural,Male,Incomplete primary/elementary,2,Peasant/farmer,63,Not applicable,NA,2,2,3,0,0,0,1,0,0,0,1,1,-1,-1,-1,-1,3,3,3,2,0,0,0,3,3,3,3,3,3,3,NA,3,NA,1
569,0.7872015315258817,9,3,10,8,3,2,12,rural,Male,Complete secondary/high school,7,Peasant/farmer,43,No,5,3,3,4,0,1,1,2,1,2,0,1,1,1,1,1,-1,4,4,4,4,1,1,0,3,3,3,3,3,3,4,2,3,1,1
